H;E;Q;speed_mm_min
56.0;E5;0.6;5.624226118607929
56.0;E6;0.35;5.009597722668181
56.0;E6;0.5;5.009597722668181
56.0;E6;0.6;5.009597722668181
56.0;E7;0.35;4.723759469696948
56.0;E7;0.5;4.723759469696948
56.0;E7;0.6;4.723759469696948
57.0;E1;0.35;3.2987551867219915
57.0;E1;0.5;3.3201920668058458
57.0;E1;0.6;3.347368421052632
57.0;E2;0.35;3.779292591823615
57.0;E2;0.5;3.8514063020562914
57.0;E2;0.6;3.940520547657016
57.0;E3;0.35;3.509823983628075
57.0;E3;0.5;4.6781613670104445
57.0;E3;0.6;5.457052955932024
58.0;E1;0.35;4.355226369574398
58.0;E1;0.5;4.692394018105309
58.0;E1;0.6;5.101943815853269
58.0;E2;0.35;4.056757360668883
58.0;E2;0.5;4.342643896570312
58.0;E2;0.6;4.424580573864092
58.0;E3;0.35;3.4157915752561805
58.0;E3;0.5;3.4303790557542313
58.0;E3;0.6;3.4525663071939237
60.0;E1;0.35;3.722646909348379
60.0;E1;0.5;4.383370866421714
60.0;E1;0.6;4.632443531827515
60.0;E2;0.35;3.849526153846154
60.0;E2;0.5;4.544255033557047
60.0;E2;0.6;4.913094046471392
60.0;E3;0.35;4.310728604230002
60.0;E3;0.5;5.156139591080235
60.0;E3;0.6;5.354016704086479
60.0;E4;0.35;5.51148898678414
60.0;E4;0.5;5.595818181818182
60.0;E4;0.6;5.687766908359031
60.0;E5;0.35;5.389952575591034
60.0;E5;0.5;5.4573173974621545
60.0;E5;0.6;5.4573173974621545
61.0;E1;0.35;3.752648685360977
61.0;E1;0.5;3.752648685360977
61.0;E1;0.6;3.752648685360977
61.0;E2;0.35;3.9904316011392056
61.0;E2;0.5;4.229419624894544
61.0;E2;0.6;4.28206800196792
62.0;E1;0.35;3.3164623115577894
62.0;E1;0.5;3.350131979695432
62.0;E1;0.6;3.5740178571428576
62.0;E2;0.35;3.8480134359709486
62.0;E2;0.5;4.584557753140644
62.0;E2;0.6;4.957286025753705
62.0;E3;0.35;4.386784702879588
62.0;E3;0.5;4.821651159674867
62.0;E3;0.6;5.241371184822684
62.0;E4;0.35;3.69396504356846
62.0;E4;0.5;4.033889076603791
62.0;E4;0.6;4.345603681291185
63.0;E1;0.35;3.4798697314076694
63.0;E1;0.5;3.8405677867845474
63.0;E1;0.6;4.758309798201695
63.0;E2;0.35;3.3620111731843574
63.0;E2;0.5;3.531766173297769
63.0;E2;0.6;3.611546187657245
63.0;E3;0.35;5.502591917485439
63.0;E3;0.5;5.601476014760148
63.0;E3;0.6;5.650011980639287
64.0;E1;0.35;3.4326625766871173
64.0;E1;0.5;3.6864406779661016
64.0;E1;0.6;3.794860103626944
64.0;E2;0.35;3.789935273066257
64.0;E2;0.5;4.244384722274003
64.0;E2;0.6;4.54291657315907
64.0;E3;0.35;4.534683833393761
64.0;E3;0.5;4.641131810703474
64.0;E3;0.6;4.824033556938094
64.0;E4;0.35;3.326641999325555
64.0;E4;0.5;4.799634189965155
64.0;E4;0.6;5.781628983724888
65.0;E1;0.35;3.6276546491255774
65.0;E1;0.5;3.720488331091391
65.0;E1;0.6;3.7800161443888527
65.0;E2;0.35;4.907425027804029
65.0;E2;0.5;5.05176105803356
65.0;E2;0.6;5.178689727833398
65.0;E3;0.35;4.293996899328525
65.0;E3;0.5;5.31327889198777
65.0;E3;0.6;5.82631177848494
66.0;E1;0.35;3.326923076923077
66.0;E1;0.5;3.3538051988725335
66.0;E1;0.6;3.707413059427733
66.0;E2;0.35;3.818526116458892
66.0;E2;0.5;4.182424384987807
66.0;E2;0.6;4.245837098805114
66.0;E3;0.35;3.9738960704808606
66.0;E3;0.5;4.038364410886859
66.0;E3;0.6;4.038364410886859
66.0;E4;0.35;6.079068005844536
66.0;E4;0.5;6.283276206446078
66.0;E4;0.6;6.32030206800823
67.0;E1;0.35;3.3793333333333333
67.0;E1;0.5;3.449616
67.0;E1;0.6;3.452380952380953
67.0;E2;0.35;3.1861800574417822
67.0;E2;0.5;3.245561711972868
67.0;E2;0.6;3.2956283649231897
67.0;E3;0.35;5.239997886858805
67.0;E3;0.5;5.332346180397063
67.0;E3;0.6;5.393911709422569
67.0;E4;0.35;5.531719066075146
